427,371,151,111,223,284,265,3005,819,769,1232,303,97,0,118,726,264,196,352,241,1874,976,1514,1427,865,1507,936
366,321,130,95,192,244,229,2586,703,661,1059,261,83,0,104,627,228,168,302,207,1613,840,1303,1227,745,1298,803
149,131,52,40,77,100,92,1048,286,267,430,106,35,0,41,255,94,68,121,84,654,340,528,498,302,527,326
108,94,39,29,57,72,68,769,209,197,315,77,26,0,30,188,67,48,90,59,479,249,387,366,222,386,239
402,350,140,106,10,10,11,1236,36,29,46,27,18,0,18,116,45,32,55,39,189,99,152,122,142,248,80
366,318,130,95,7,16,15,544,27,41,65,29,9,0,15,81,31,20,40,25,112,59,90,132,75,131,87
319,279,112,85,7,14,13,478,25,35,58,24,9,0,11,72,27,20,35,25,98,51,80,117,66,115,77
2101,1832,741,553,481,296,278,2078,1757,800,1285,434,114,0,144,878,322,236,427,291,1425,741,1151,2032,840,1462,1331
1532,1336,540,402,37,42,36,4705,139,108,177,98,57,0,74,448,161,120,221,148,720,375,582,459,545,948,302
1007,877,353,264,21,42,38,1497,77,114,182,77,31,0,37,224,81,60,111,74,308,160,249,366,208,363,241
1599,1397,564,420,33,68,62,2384,121,181,290,125,48,0,59,354,130,96,176,118,491,256,396,584,330,576,382
293,256,104,77,14,22,19,596,51,57,93,11,9,0,15,85,31,24,40,30,159,83,129,52,84,144,34
57,50,21,16,6,4,4,96,18,14,22,5,4,0,7,40,13,12,20,15,29,15,23,31,18,33,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,73,29,21,7,8,6,143,27,20,32,11,9,0,11,58,22,16,30,20,43,23,34,47,29,49,32
417,363,148,108,37,36,34,721,137,98,157,51,40,0,48,300,112,80,146,99,214,112,174,234,142,248,154
152,133,55,40,14,14,13,265,49,35,58,19,13,0,18,108,40,28,55,34,78,41,64,86,53,91,56
126,110,44,32,11,10,11,217,41,29,48,16,13,0,15,90,31,24,45,30,64,33,52,70,42,75,45
180,157,65,48,16,16,15,313,59,43,67,21,18,0,22,130,49,36,65,44,93,48,76,101,62,108,66
126,110,44,32,11,10,11,217,41,29,48,16,13,0,15,90,31,24,45,30,64,33,52,70,42,75,45
3694,3224,1302,970,208,172,160,4013,757,464,746,322,97,0,122,735,269,196,357,241,381,199,309,1518,756,1316,997
1885,1645,665,494,106,88,81,2045,386,238,381,165,48,0,63,376,139,100,181,123,195,101,158,776,386,671,509
2940,2566,1037,772,165,136,128,3193,603,370,593,258,75,0,96,582,215,156,286,192,304,159,245,1209,601,1046,792
1413,1235,496,373,67,102,96,2880,244,277,446,56,53,0,67,403,148,108,196,133,765,399,618,254,401,696,167
1223,1068,431,323,112,84,77,1692,409,224,359,122,48,0,59,349,130,92,171,113,541,283,438,568,368,640,374
2129,1856,748,558,196,144,135,2950,713,389,627,210,79,0,100,614,224,164,296,202,943,491,761,991,639,1114,649
906,791,320,238,43,66,62,1847,157,179,286,35,35,0,41,260,94,68,126,84,491,256,396,163,257,447,106
