166,142,58,42,156,142,124,817,596,391,621,114,22,0,32,162,59,49,70,49,1435,732,1142,550,475,827,353
142,123,50,36,134,122,107,703,512,336,534,98,19,0,28,140,51,42,60,42,1235,630,983,473,409,712,303
58,50,20,15,54,50,43,285,208,136,217,40,8,0,11,57,21,17,24,17,501,255,398,192,166,289,123
42,36,15,11,40,36,32,209,152,100,159,29,6,0,8,42,15,12,18,12,367,187,292,141,122,212,90
156,134,54,40,7,5,5,336,26,15,23,10,4,0,5,26,10,8,11,8,145,74,115,47,78,136,30
142,122,50,36,5,8,7,148,20,21,33,11,2,0,4,18,7,5,8,5,86,44,68,51,41,72,33
124,107,43,32,5,7,6,130,18,18,29,9,2,0,3,16,6,5,7,5,75,38,60,45,36,63,29
816,702,285,209,336,148,130,565,1279,407,648,163,26,0,39,196,72,59,85,59,1091,556,868,783,461,802,502
595,512,208,152,26,21,17,1279,101,55,89,37,13,0,20,100,36,30,44,30,551,281,439,177,299,520,114
391,336,136,100,15,21,18,407,56,58,92,29,7,0,10,50,18,15,22,15,236,120,188,141,114,199,91
621,535,217,159,23,34,29,648,88,92,146,47,11,0,16,79,29,24,35,24,376,192,299,225,181,316,144
114,98,40,29,10,11,9,162,37,29,47,4,2,0,4,19,7,6,8,6,122,62,97,20,46,79,13
22,19,8,6,4,2,2,26,13,7,11,2,1,0,2,9,3,3,4,3,22,11,17,12,10,18,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,28,11,8,5,4,3,39,20,10,16,4,2,0,3,13,5,4,6,4,33,17,26,18,16,27,12
162,139,57,41,26,18,16,196,100,50,79,19,9,0,13,67,25,20,29,20,164,84,131,90,78,136,58
59,51,21,15,10,7,6,72,36,18,29,7,3,0,5,24,9,7,11,7,60,31,48,33,29,50,21
49,42,17,12,8,5,5,59,30,15,24,6,3,0,4,20,7,6,9,6,49,25,39,27,23,41,17
70,60,25,18,11,8,7,85,43,22,34,8,4,0,6,29,11,9,13,9,71,36,57,39,34,59,25
49,42,17,12,8,5,5,59,30,15,24,6,3,0,4,20,7,6,9,6,49,25,39,27,23,41,17
1435,1235,501,367,145,86,75,1091,551,236,376,121,22,0,33,164,60,49,71,49,292,149,233,585,415,722,376
732,630,256,187,74,44,38,556,281,121,192,62,11,0,17,84,31,25,36,25,149,76,119,299,212,368,192
1142,983,399,292,115,68,60,868,439,188,299,97,17,0,26,130,48,39,57,39,233,119,185,466,330,574,299
549,473,191,141,47,51,45,783,178,141,225,21,12,0,18,90,33,27,39,27,586,299,466,98,220,382,63
475,409,166,122,78,42,36,460,298,114,181,46,11,0,16,78,29,23,34,23,414,212,330,219,202,351,141
827,711,288,211,137,72,63,802,519,198,316,79,18,0,27,137,50,41,59,41,722,368,574,382,351,611,245
352,303,123,90,30,33,29,502,114,91,144,13,8,0,11,58,21,17,25,17,376,192,299,63,141,245,40
