997,865,352,259,2084,1055,984,7013,7640,2855,4575,1416,386,0,473,2903,1057,783,1407,966,8747,4555,7066,6660,3461,6029,4366
853,749,303,222,1790,906,849,6034,6563,2454,3934,1217,334,0,414,2509,913,671,1206,828,7528,3920,6082,5727,2980,5190,3748
348,305,121,93,721,371,341,2446,2666,993,1599,497,140,0,163,1022,376,272,482,335,3054,1587,2463,2325,1210,2107,1521
252,219,91,68,534,267,254,1794,1948,730,1171,360,105,0,118,753,269,192,362,236,2237,1164,1807,1707,889,1545,1113
937,816,327,247,94,37,40,2884,333,110,169,124,70,0,74,466,179,128,221,158,884,460,712,569,568,991,371
853,743,303,222,67,59,56,1270,256,153,243,137,35,0,59,323,125,80,161,99,524,274,421,618,299,525,408
745,652,261,197,67,52,48,1116,231,131,214,112,35,0,44,287,107,80,141,99,457,236,371,545,262,459,359
4902,4276,1728,1289,4489,1099,1032,4850,16394,2972,4774,2025,457,0,577,3513,1290,943,1709,1163,6650,3460,5371,9481,3359,5846,6209
3574,3118,1261,938,347,156,135,10978,1295,402,656,460,228,0,296,1792,645,480,884,591,3359,1748,2716,2143,2179,3791,1410
2349,2046,825,617,200,156,143,3493,718,424,678,360,123,0,148,896,322,240,442,296,1439,747,1163,1707,831,1451,1126
3731,3259,1316,981,307,253,230,5562,1128,672,1076,584,193,0,237,1416,519,384,704,473,2292,1195,1850,2724,1319,2304,1781
685,597,243,179,134,82,71,1390,474,212,346,50,35,0,59,341,125,96,161,118,744,386,600,242,335,576,161
132,116,49,37,53,15,16,223,167,51,81,25,18,0,30,161,54,48,80,59,134,68,105,145,73,131,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,171,67,49,67,30,24,335,256,73,118,50,35,0,44,233,90,64,121,79,201,106,161,218,117,197,148
973,847,346,253,347,134,127,1682,1282,365,582,236,158,0,192,1201,448,320,583,394,1000,523,811,1090,568,991,717
354,311,127,93,134,52,48,618,461,131,214,87,53,0,74,430,161,112,221,138,366,193,297,400,211,364,260
294,256,103,74,107,37,40,506,385,110,177,75,53,0,59,358,125,96,181,118,299,156,241,327,168,299,210
421,365,152,111,147,59,56,730,551,161,250,99,70,0,89,520,197,144,261,177,433,224,353,472,248,430,309
294,256,103,74,107,37,40,506,385,110,177,75,53,0,59,358,125,96,181,118,299,156,241,327,168,299,210
8620,7522,3037,2264,1937,639,595,9364,7063,1723,2770,1503,386,0,488,2939,1075,783,1427,966,1780,927,1442,7083,3024,5263,4651
4397,3837,1552,1154,989,327,302,4772,3602,884,1414,770,193,0,252,1505,555,400,724,493,908,473,736,3620,1545,2683,2375
6860,5987,2419,1801,1536,505,476,7450,5627,1373,2203,1205,299,0,385,2330,860,623,1146,769,1420,740,1145,5643,2405,4184,3698
3298,2881,1158,870,628,379,357,6721,2282,1030,1658,261,211,0,266,1613,591,432,784,532,3572,1860,2883,1187,1603,2785,779
2853,2491,1006,753,1042,312,286,3948,3820,832,1333,571,193,0,237,1398,519,368,683,453,2523,1319,2042,2652,1472,2559,1744
4968,4331,1746,1302,1830,535,500,6884,6653,1446,2328,981,316,0,399,2455,896,655,1186,808,4401,2290,3552,4625,2558,4454,3030
2115,1845,746,555,401,245,230,4309,1461,665,1061,161,140,0,163,1039,376,272,503,335,2292,1195,1850,763,1028,1786,495
